Name,Conference,Division,Public/Private,HBCU,State,Region
Academy of Art University,Pacific West Conference,II,Private,No,CA,West
Adams State University,Rocky Mountain Athletic Conference,II,Public,No,CO,West
Adelphi University,Northeast-10 Conference,II,Private,No,NY,Northeast
Albany State University (Georgia),Southern Intercol. Ath. Conf.,II,Public,Yes,GA,South
Allen University,Southern Intercol. Ath. Conf.,II,Private,Yes,SC,South
American International College,Northeast-10 Conference,II,Private,No,MA,Northeast
Anderson University (South Carolina),South Atlantic Conference,II,Private,No,SC,South
Angelo State University,Lone Star Conference,II,Public,No,TX,South
Arkansas Tech University,Great American Conference,II,Public,No,AR,South
Ashland University,Great Midwest Athletic Conference,II,Private,No,OH,Midwest
Assumption University,Northeast-10 Conference,II,Private,No,MA,Northeast
Auburn University at Montgomery,Gulf South Conference,II,Public,No,AL,South
Augusta University,Peach Belt Conference,II,Public,No,GA,South
Augustana University (South Dakota),Northern Sun Intercollegiate Conference,II,Private,No,SD,Midwest
Azusa Pacific University,Pacific West Conference,II,Private,No,CA,West
Barry University,Sunshine State Conference,II,Private,No,FL,South
Barton College,Conference Carolinas,II,Private,No,NC,South
Belmont Abbey College,Conference Carolinas,II,Private,No,NC,South
Bemidji State University,Northern Sun Intercollegiate Conference,II,Public,No,MN,Midwest
Benedict College,Southern Intercol. Ath. Conf.,II,Private,Yes,SC,South
Bentley University,Northeast-10 Conference,II,Private,No,MA,Northeast
